id;exercise_name;body_part;equipment;target;location;style;difficulty;duration_type;default_sets;default_reps;desc;movement_pattern;duration_unit
534;dumbbell incline one arm hammer press on exercise ball;upper arms;dumbbell;triceps;both;strength_training;advanced;reps;3;10;;isolation_triceps;reps
535;dumbbell incline one arm lateral raise;shoulders;dumbbell;delts;both;strength_training;advanced;reps;3;10;;isolation_shoulders;reps
536;dumbbell incline one arm press;chest;dumbbell;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
537;dumbbell incline one arm press on exercise ball;chest;dumbbell;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
538;dumbbell incline palm-in press;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
539;dumbbell incline press on exercise ball;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
540;dumbbell incline raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
541;dumbbell incline rear lateral raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
542;dumbbell incline row;back;dumbbell;upper back;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
543;dumbbell incline shoulder raise;shoulders;dumbbell;serratus anterior;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
544;dumbbell incline shrug;back;dumbbell;traps;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
545;dumbbell incline t-raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
546;dumbbell incline triceps extension;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
547;dumbbell incline twisted flyes;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
548;dumbbell incline two arm extension;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
549;dumbbell incline y-raise;back;dumbbell;upper back;both;strength_training;intermediate;reps;3;10;;isolation_upper_back;reps
550;dumbbell iron cross;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
551;dumbbell kickback;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
552;dumbbell kickbacks on exercise ball;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
553;dumbbell kneeling bicep curl exercise ball;upper arms;dumbbell;biceps;both;strength_training;beginner;reps;3;10;;isolation_biceps;reps
554;dumbbell lateral raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
555;dumbbell lateral to front raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
556;dumbbell lunge;upper legs;dumbbell;glutes;both;strength_training;intermediate;reps;3;10;;lunge;reps
557;dumbbell lunge with bicep curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;lunge;reps
558;dumbbell lying extension (across face);upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
559;dumbbell lying alternate extension;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
560;dumbbell lying elbow press;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
561;dumbbell lying external shoulder rotation;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
562;dumbbell lying femoral;upper legs;dumbbell;hamstrings;both;strength_training;intermediate;reps;3;10;;isolation_hamstrings;reps
563;dumbbell lying hammer press;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
564;dumbbell lying on floor rear delt raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
565;dumbbell lying one arm deltoid rear;shoulders;dumbbell;delts;both;strength_training;advanced;reps;3;10;;isolation_shoulders;reps
566;dumbbell lying one arm press;chest;dumbbell;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
568;dumbbell lying one arm pronated triceps extension;upper arms;dumbbell;triceps;both;strength_training;advanced;reps;3;10;;isolation_triceps;reps
569;dumbbell lying one arm rear lateral raise;shoulders;dumbbell;delts;both;strength_training;advanced;reps;3;10;;isolation_shoulders;reps
570;dumbbell lying one arm supinated triceps extension;upper arms;dumbbell;triceps;both;strength_training;advanced;reps;3;10;;isolation_triceps;reps
571;dumbbell lying pronation;lower arms;dumbbell;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
572;dumbbell lying pronation on floor;lower arms;dumbbell;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
573;dumbbell lying pullover on exercise ball;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
574;dumbbell lying rear delt row;back;dumbbell;upper back;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
575;dumbbell lying rear lateral raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
576;dumbbell lying single extension;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
577;dumbbell lying supination;lower arms;dumbbell;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
578;dumbbell lying supination on floor;lower arms;dumbbell;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
579;dumbbell lying supine biceps curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
580;dumbbell lying supine curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
581;dumbbell lying triceps extension;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
582;dumbbell lying wide curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
583;dumbbell neutral grip bench press;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
584;dumbbell one arm bench fly;chest;dumbbell;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
585;dumbbell one arm bent-over row;back;dumbbell;upper back;both;strength_training;advanced;reps;3;10;;horizontal_pull;reps
586;dumbbell one arm chest fly on exercise ball;chest;dumbbell;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
587;dumbbell one arm concentration curl (on stability ball);upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
588;dumbbell one arm decline chest press;chest;dumbbell;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
589;dumbbell one arm fly on exercise ball;chest;dumbbell;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
590;dumbbell one arm french press on exercise ball;upper arms;dumbbell;triceps;both;strength_training;advanced;reps;3;10;;isolation_triceps;reps
591;dumbbell one arm hammer preacher curl;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
592;dumbbell one arm hammer press on exercise ball;upper arms;dumbbell;triceps;both;strength_training;advanced;reps;3;10;;isolation_triceps;reps
593;dumbbell one arm incline chest press;chest;dumbbell;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
594;dumbbell one arm kickback;upper arms;dumbbell;triceps;both;strength_training;advanced;reps;3;10;;isolation_triceps;reps
595;dumbbell one arm lateral raise;shoulders;dumbbell;delts;both;strength_training;advanced;reps;3;10;;isolation_shoulders;reps
596;dumbbell one arm lateral raise with support;shoulders;dumbbell;delts;both;strength_training;advanced;reps;3;10;;isolation_shoulders;reps
597;dumbbell one arm press on exercise ball;chest;dumbbell;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
598;dumbbell one arm prone curl;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
599;dumbbell one arm prone hammer curl;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
600;dumbbell one arm pullover on exercise ball;chest;dumbbell;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
601;dumbbell one arm reverse wrist curl;lower arms;dumbbell;forearms;both;strength_training;advanced;reps;3;10;;isolation_forearms;reps
602;dumbbell one arm reverse fly (with support);shoulders;dumbbell;delts;both;strength_training;advanced;reps;3;10;;isolation_shoulders;reps
603;dumbbell one arm reverse grip press;chest;dumbbell;pectorals;both;strength_training;advanced;reps;3;10;;isolation_chest;reps
604;dumbbell one arm reverse preacher curl;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
605;dumbbell one arm reverse spider curl;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
606;dumbbell one arm seated bicep curl on exercise ball;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
607;dumbbell one arm seated hammer curl;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
608;dumbbell one arm seated neutral wrist curl;lower arms;dumbbell;forearms;both;strength_training;advanced;reps;3;10;;isolation_forearms;reps
609;dumbbell one arm shoulder press;shoulders;dumbbell;delts;both;strength_training;advanced;reps;3;10;;vertical_push;reps
611;dumbbell one arm snatch;upper legs;dumbbell;glutes;both;crossfit, strength_training;advanced;reps;3;10;;hinge;reps
612;dumbbell one arm standing curl;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
613;dumbbell one arm standing hammer curl;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
614;dumbbell one arm triceps extension (on bench);upper arms;dumbbell;triceps;both;strength_training;advanced;reps;3;10;;isolation_triceps;reps
615;dumbbell one arm upright row;shoulders;dumbbell;delts;both;strength_training;advanced;reps;3;10;;horizontal_pull;reps
616;dumbbell one arm wrist curl;lower arms;dumbbell;forearms;both;strength_training;advanced;reps;3;10;;isolation_forearms;reps
617;dumbbell one arm zottman preacher curl;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
618;dumbbell one leg fly on exercise ball;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
619;dumbbell over bench neutral wrist curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
620;dumbbell over bench one arm neutral wrist curl;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
621;dumbbell over bench one arm reverse wrist curl;lower arms;dumbbell;forearms;both;strength_training;advanced;reps;3;10;;isolation_forearms;reps
622;dumbbell over bench one arm wrist curl;lower arms;dumbbell;forearms;both;strength_training;advanced;reps;3;10;;isolation_forearms;reps
623;dumbbell over bench revers wrist curl;lower arms;dumbbell;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
624;dumbbell over bench wrist curl;lower arms;dumbbell;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
625;dumbbell palm rotational bent over row;back;dumbbell;upper back;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
626;dumbbell palms in incline bench press;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
627;dumbbell peacher hammer curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
628;dumbbell plyo squat;upper legs;dumbbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
629;dumbbell preacher curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
630;dumbbell preacher curl over exercise ball;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
631;dumbbell press on exercise ball;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
632;dumbbell pronate-grip triceps extension;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
633;dumbbell prone incline curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
634;dumbbell prone incline hammer curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
635;dumbbell pullover;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
636;dumbbell pullover hip extension on exercise ball;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
637;dumbbell pullover on exercise ball;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
638;dumbbell push press;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
639;dumbbell raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
640;dumbbell rear delt raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
641;dumbbell rear delt row_shoulder;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
642;dumbbell rear fly;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
643;dumbbell rear lateral raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
644;dumbbell rear lateral raise (support head);shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
645;dumbbell rear lunge;upper legs;dumbbell;glutes;both;strength_training;intermediate;reps;3;10;;lunge;reps
646;dumbbell revers grip biceps curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
647;dumbbell reverse bench press;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
648;dumbbell reverse fly;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
649;dumbbell reverse grip incline bench one arm row;back;dumbbell;upper back;both;strength_training;advanced;reps;3;10;;horizontal_pull;reps
650;dumbbell reverse grip incline bench two arm row;back;dumbbell;upper back;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
651;dumbbell reverse grip row (female);back;dumbbell;upper back;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
652;dumbbell reverse preacher curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
653;dumbbell reverse spider curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
654;dumbbell reverse wrist curl;lower arms;dumbbell;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
655;dumbbell romanian deadlift;upper legs;dumbbell;glutes;both;strength_training;beginner;reps;3;10;;hinge;reps
656;dumbbell rotation reverse fly;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
657;dumbbell scott press;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
658;dumbbell seated alternate front raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
659;dumbbell seated alternate hammer curl on exercise ball;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
660;dumbbell seated alternate press;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
661;dumbbell seated alternate shoulder;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
662;dumbbell seated bench extension;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
663;dumbbell seated bent arm lateral raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
664;dumbbell seated bent over alternate kickback;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
665;dumbbell seated bent over triceps extension;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
666;dumbbell seated bicep curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
667;dumbbell seated biceps curl (on stability ball);upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
668;dumbbell seated biceps curl to shoulder press;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;vertical_push;reps
669;dumbbell seated calf raise;lower legs;dumbbell;calves;both;strength_training;intermediate;reps;3;10;;isolation_calves;reps
670;dumbbell seated curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
671;dumbbell seated front raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
672;dumbbell seated hammer curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
673;dumbbell seated inner biceps curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
674;dumbbell seated kickback;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
675;dumbbell seated lateral raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
677;dumbbell seated neutral wrist curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
678;dumbbell seated one arm bicep curl on exercise ball with leg raised;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;core;reps
679;dumbbell seated one arm kickback;upper arms;dumbbell;triceps;both;strength_training;advanced;reps;3;10;;isolation_triceps;reps
680;dumbbell seated one arm rotate;lower arms;dumbbell;forearms;both;strength_training;advanced;reps;3;10;;isolation_forearms;reps
681;dumbbell seated one leg calf raise;lower legs;dumbbell;calves;both;strength_training;intermediate;reps;3;10;;isolation_calves;reps
682;dumbbell seated one leg calf raise - hammer grip;lower legs;dumbbell;calves;both;strength_training;intermediate;reps;3;10;;isolation_calves;reps
683;dumbbell seated one leg calf raise - palm up;lower legs;dumbbell;calves;both;strength_training;intermediate;reps;3;10;;isolation_calves;reps
684;dumbbell seated palms up wrist curl;lower arms;dumbbell;forearms;both;strength_training;intermediate;reps;3;10;;isolation_forearms;reps
685;dumbbell seated preacher curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
686;dumbbell seated revers grip concentration curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
687;dumbbell seated reverse grip one arm overhead tricep extension;upper arms;dumbbell;triceps;both;strength_training;advanced;reps;3;10;;isolation_triceps;reps
688;dumbbell seated shoulder press;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;vertical_push;reps
689;dumbbell seated shoulder press (parallel grip);shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;vertical_push;reps
690;dumbbell seated triceps extension;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
691;dumbbell shrug;back;dumbbell;traps;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
692;dumbbell side bend;waist;dumbbell;abs;both;strength_training;intermediate;reps;3;10;;core;reps
693;dumbbell side lying one hand raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
694;dumbbell side plank with rear fly;back;dumbbell;upper back;both;strength_training;beginner;time;1;30;;core;reps
695;dumbbell single arm overhead carry;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
696;dumbbell single leg calf raise;lower legs;dumbbell;calves;both;strength_training;intermediate;reps;3;10;;isolation_calves;reps
697;dumbbell single leg deadlift;upper legs;dumbbell;glutes;both;strength_training;intermediate;reps;3;10;;hinge;reps
698;dumbbell single leg deadlift with stepbox support;upper legs;dumbbell;glutes;both;strength_training;intermediate;reps;3;10;;hinge;reps
699;dumbbell single leg split squat;upper legs;dumbbell;quads;both;strength_training;intermediate;reps;3;10;;squat;reps
700;dumbbell single leg squat;upper legs;dumbbell;glutes;both;strength_training;intermediate;reps;3;10;;squat;reps
701;dumbbell squat;upper legs;dumbbell;glutes;both;strength_training;beginner;reps;3;10;;squat;reps
702;dumbbell standing alternate hammer curl and press;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
703;dumbbell standing alternate overhead press;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;vertical_push;reps
704;dumbbell standing alternate raise;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
705;dumbbell standing alternating tricep kickback;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
706;dumbbell standing around world;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
707;dumbbell standing bent over one arm triceps extension;upper arms;dumbbell;triceps;both;strength_training;advanced;reps;3;10;;isolation_triceps;reps
708;dumbbell standing bent over two arm triceps extension;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
709;dumbbell standing biceps curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
710;dumbbell standing calf raise;lower legs;dumbbell;calves;both;strength_training;beginner;reps;3;10;;isolation_calves;reps
711;dumbbell standing concentration curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
712;dumbbell standing front raise above head;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
714;dumbbell standing kickback;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
715;dumbbell standing one arm concentration curl;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
716;dumbbell standing one arm curl (over incline bench);upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
717;dumbbell standing one arm curl over incline bench;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
718;dumbbell standing one arm extension;upper arms;dumbbell;triceps;both;strength_training;advanced;reps;3;10;;isolation_triceps;reps
719;dumbbell standing one arm palm in press;shoulders;dumbbell;delts;both;strength_training;advanced;reps;3;10;;isolation_shoulders;reps
720;dumbbell standing one arm reverse curl;upper arms;dumbbell;biceps;both;strength_training;advanced;reps;3;10;;isolation_biceps;reps
721;dumbbell standing overhead press;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;vertical_push;reps
722;dumbbell standing palms in press;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
723;dumbbell standing preacher curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
724;dumbbell standing reverse curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
725;dumbbell standing triceps extension;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
726;dumbbell standing zottman preacher curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
727;dumbbell step up single leg balance with bicep curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
728;dumbbell step-up;upper legs;dumbbell;glutes;both;strength_training;intermediate;reps;3;10;;lunge;reps
729;dumbbell step-up lunge;upper legs;dumbbell;quads;both;strength_training;intermediate;reps;3;10;;lunge;reps
730;dumbbell step-up split squat;upper legs;dumbbell;quads;both;strength_training;intermediate;reps;3;10;;squat;reps
731;dumbbell stiff leg deadlift;upper legs;dumbbell;glutes;both;strength_training;intermediate;reps;3;10;;hinge;reps
732;dumbbell straight arm pullover;chest;dumbbell;pectorals;both;strength_training;intermediate;reps;3;10;;isolation_chest;reps
733;dumbbell straight leg deadlift;upper legs;dumbbell;glutes;both;strength_training;intermediate;reps;3;10;;hinge;reps
734;dumbbell sumo pull through;upper legs;dumbbell;glutes;both;strength_training;intermediate;reps;3;10;;glute_isolation;reps
735;dumbbell supported squat;upper legs;dumbbell;quads;both;strength_training;intermediate;reps;3;10;;squat;reps
736;dumbbell tate press;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
737;dumbbell tricep kickback with stork stance;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
738;dumbbell twisting bench press;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;horizontal_push;reps
740;dumbbell upright row (back pov);shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;horizontal_pull;reps
741;dumbbell upright shoulder external rotation;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
742;dumbbell waiter biceps curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
743;dumbbell w-press;shoulders;dumbbell;delts;both;strength_training;intermediate;reps;3;10;;isolation_shoulders;reps
744;dumbbell zottman curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
745;dumbbell zottman preacher curl;upper arms;dumbbell;biceps;both;strength_training;intermediate;reps;3;10;;isolation_biceps;reps
746;dumbbells seated triceps extension;upper arms;dumbbell;triceps;both;strength_training;intermediate;reps;3;10;;isolation_triceps;reps
747;dynamic chest stretch (male);chest;body weight;pectorals;both;mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
748;elbow dips;upper arms;body weight;triceps;both;calisthenics;intermediate;reps;3;12;;isolation_triceps;reps
749;elbow lift - reverse push-up;back;body weight;upper back;both;calisthenics;intermediate;reps;3;12;;isolation_upper_back;reps
750;elbow-to-knee;waist;body weight;abs;both;calisthenics;intermediate;reps;3;12;;core;reps
751;elevator;back;body weight;upper back;both;calisthenics;intermediate;reps;3;12;;isolation_upper_back;reps
752;exercise ball alternating arm ups;back;stability ball;lats;both;calisthenics;intermediate;reps;3;12;;isolation_lats;reps
753;exercise ball back extension with arms extended;back;stability ball;spine;both;calisthenics;intermediate;reps;3;12;;isolation_spine;reps
754;exercise ball back extension with hands behind head;back;stability ball;spine;both;calisthenics;intermediate;reps;3;12;;isolation_spine;reps
755;exercise ball back extension with knees off ground;back;stability ball;spine;both;calisthenics;intermediate;reps;3;12;;isolation_spine;reps
756;exercise ball back extension with rotation;back;stability ball;spine;both;calisthenics;intermediate;reps;3;12;;isolation_spine;reps
757;exercise ball dip;upper arms;stability ball;triceps;both;calisthenics;intermediate;reps;3;12;;isolation_triceps;reps
758;exercise ball hip flexor stretch;upper legs;stability ball;glutes;both;mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
759;exercise ball hug;back;stability ball;spine;both;calisthenics;intermediate;reps;3;12;;isolation_spine;reps
760;exercise ball lat stretch;back;stability ball;lats;both;mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
761;exercise ball lower back stretch (pyramid);back;stability ball;lats;both;mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
762;exercise ball lying side lat stretch;back;stability ball;lats;both;mobility_flexibility, calisthenics;beginner;time;2;30;;flexibility;seconds
763;exercise ball on the wall calf raise;lower legs;dumbbell;calves;both;strength_training;beginner;reps;3;10;;isolation_calves;reps
764;exercise ball on the wall calf raise (tennis ball between ankles);lower legs;dumbbell;calves;both;strength_training;beginner;reps;3;10;;isolation_calves;reps
765;exercise ball on the wall calf raise (tennis ball between knees);lower legs;dumbbell;calves;both;strength_training;beginner;reps;3;10;;isolation_calves;reps
766;exercise ball one leg prone lower body rotation;upper legs;stability ball;glutes;both;calisthenics;intermediate;reps;3;12;;glute_isolation;reps
